slippage,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,entry_ts_tbbo,entry_price_tbbo,exit_ts_tbbo,exit_price_tbbo,exit_reason_tbbo,pnl_r_tbbo,target_hit_ts,stop_hit_ts,note
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 07:45:00+00:00,2025-05-27 07:47:00+00:00,21341.0000,2025-05-27 11:01:00+00:00,21292.8929,stop,24.0536,21292.8929,21461.2679,-48.1071,-1.0000,2025-05-27 07:47:00.036681757+00:00,21342.0000,2025-05-27 11:01:07.300066089+00:00,21292.2500,stop,-1.0131,,2025-05-27 11:01:07.300066089+00:00,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 07:45:00+00:00,2025-05-27 07:47:00+00:00,5906.5000,2025-05-27 11:02:00+00:00,5896.4821,stop,5.0089,5896.4821,5931.5446,-10.0179,-1.0000,2025-05-27 07:47:00.194856991+00:00,5906.5000,2025-05-27 11:02:20.114143789+00:00,5896.2500,stop,-1.0232,,2025-05-27 11:02:20.114143789+00:00,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 08:00:00+00:00,2025-05-27 08:02:00+00:00,5905.5000,2025-05-27 12:02:00+00:00,5900.2500,time_exit,5.5714,5894.3571,5933.3571,-5.2500,-0.4712,2025-05-27 08:02:00.598009067+00:00,5905.5000,2025-05-27 12:19:29.412520433+00:00,5894.2500,stop,-1.0096,,2025-05-27 12:19:29.412520433+00:00,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 08:00:00+00:00,2025-05-27 08:02:00+00:00,21329.2500,2025-05-27 11:06:00+00:00,21277.6875,stop,25.7812,21277.6875,21458.1562,-51.5625,-1.0000,2025-05-27 08:02:00.618835001+00:00,21329.2500,2025-05-27 11:06:51.527243247+00:00,21277.0000,stop,-1.0133,,2025-05-27 11:06:51.527243247+00:00,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bearish,short,2025-05-27 10:45:00+00:00,2025-05-27 10:47:00+00:00,21319.2500,2025-05-27 14:19:00+00:00,21374.7232,stop,27.7366,21374.7232,21180.5670,-55.4732,-1.0000,2025-05-27 10:47:00.878175635+00:00,21319.2500,2025-05-27 14:19:07.284107559+00:00,21374.7500,stop,-1.0005,,2025-05-27 14:19:07.284107559+00:00,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bearish,short,2025-05-27 11:00:00+00:00,2025-05-27 11:02:00+00:00,21288.2500,2025-05-27 14:09:00+00:00,21345.2768,stop,28.5134,21345.2768,21145.6830,-57.0268,-1.0000,2025-05-27 11:02:00.158277475+00:00,21288.2500,2025-05-27 14:09:00.623986001+00:00,21345.2500,stop,-0.9995,,2025-05-27 14:09:00.623986001+00:00,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-27 11:00:00+00:00,2025-05-27 11:02:00+00:00,5898.2500,2025-05-27 14:48:00+00:00,5910.7589,stop,6.2545,5910.7589,5866.9777,-12.5089,-1.0000,2025-05-27 11:02:00.495013921+00:00,5898.0000,2025-05-27 14:48:58.894414053+00:00,5911.0000,stop,-1.0189,,2025-05-27 14:48:58.894414053+00:00,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bearish,short,2025-05-27 11:15:00+00:00,2025-05-27 11:17:00+00:00,21287.7500,2025-05-27 14:09:00+00:00,21345.0982,stop,28.6741,21345.0982,21144.3795,-57.3482,-1.0000,2025-05-27 11:17:01.220457803+00:00,21287.2500,2025-05-27 14:09:00.623986001+00:00,21345.2500,stop,-1.0026,,2025-05-27 14:09:00.623986001+00:00,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-27 13:30:00+00:00,2025-05-27 13:32:00+00:00,5879.7500,2025-05-27 14:05:00+00:00,5894.5625,stop,7.4062,5894.5625,5842.7188,-14.8125,-1.0000,2025-05-27 13:32:00.001658741+00:00,5879.7500,2025-05-27 14:05:22.516465237+00:00,5894.7500,stop,-1.0127,,2025-05-27 14:05:22.516465237+00:00,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 14:00:00+00:00,2025-05-27 14:02:00+00:00,21326.7500,2025-05-27 18:02:00+00:00,21474.0000,time_exit,35.9732,21254.8036,21506.6161,147.2500,2.0467,2025-05-27 14:02:00.000051479+00:00,21326.7500,2025-05-27 18:59:59.467944835+00:00,21442.5000,time_exit,1.6088,,,
