variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,entry_ts_tbbo,entry_price_tbbo,exit_ts_tbbo,exit_price_tbbo,exit_reason_tbbo,pnl_r_tbbo,target_hit_ts,stop_hit_ts,note
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-08 22:00:00+00:00,2025-07-08 22:02:00+00:00,22916.0000,2025-07-09 02:02:00+00:00,22897.7500,time_exit,34.3661,22847.2679,23087.8304,-18.2500,-0.2655,2025-07-08 22:02:00.074283649+00:00,22918.2500,2025-07-09 02:59:59.033651413+00:00,22880.8750,time_exit,-0.5265,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-08 22:00:00+00:00,2025-07-08 22:02:00+00:00,6275.5000,2025-07-09 02:02:00+00:00,6270.5000,time_exit,8.0491,6259.4018,6315.7455,-5.0000,-0.3106,2025-07-08 22:02:00.389728785+00:00,6275.5000,2025-07-09 02:59:58.200937767+00:00,6267.0000,time_exit,-0.5280,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-09 00:00:00+00:00,2025-07-09 00:03:00+00:00,22892.0000,2025-07-09 04:03:00+00:00,22875.0000,time_exit,24.7500,22842.5000,23015.7500,-17.0000,-0.3434,2025-07-09 00:03:01.997943965+00:00,22893.0000,2025-07-09 04:59:56.584207543+00:00,22891.5000,time_exit,-0.0297,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-09 00:00:00+00:00,2025-07-09 00:09:00+00:00,6267.0000,2025-07-09 04:09:00+00:00,6265.0000,time_exit,5.7857,6255.4286,6295.9286,-2.0000,-0.1728,2025-07-09 00:09:00.248260993+00:00,6267.0000,2025-07-09 04:59:56.583902095+00:00,6268.1250,time_exit,0.0972,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-07-09 06:00:00+00:00,2025-07-09 06:02:00+00:00,22870.0000,2025-07-09 07:00:00+00:00,22900.6696,stop,15.3348,22900.6696,22793.3259,-30.6696,-1.0000,2025-07-09 06:02:04.067727909+00:00,22869.5000,2025-07-09 07:00:56.009325463+00:00,22901.0000,stop,-1.0106,,2025-07-09 07:00:56.009325463+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-07-09 06:00:00+00:00,2025-07-09 06:02:00+00:00,6264.7500,2025-07-09 07:00:00+00:00,6271.7946,stop,3.5223,6271.7946,6247.1384,-7.0446,-1.0000,2025-07-09 06:02:04.873783519+00:00,6264.7500,2025-07-09 07:00:34.175364547+00:00,6272.0000,stop,-1.0292,,2025-07-09 07:00:34.175364547+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-09 12:00:00+00:00,2025-07-09 12:03:00+00:00,6283.7500,2025-07-09 13:35:00+00:00,6304.3750,target,4.1250,6275.5000,6304.3750,20.6250,2.5000,2025-07-09 12:03:00.713057189+00:00,6283.7500,2025-07-09 13:35:22.589368111+00:00,6304.3750,target,2.5000,2025-07-09 13:35:22.589368111+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-09 13:00:00+00:00,2025-07-09 13:03:00+00:00,22933.7500,2025-07-09 13:35:00+00:00,23029.3750,target,19.1250,22895.5000,23029.3750,95.6250,2.5000,2025-07-09 13:03:03.762099269+00:00,22933.7500,2025-07-09 13:35:03.370946315+00:00,23029.3750,target,2.5000,2025-07-09 13:35:03.370946315+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-09 14:00:00+00:00,2025-07-09 14:02:00+00:00,23104.0000,2025-07-09 14:27:00+00:00,23055.4643,stop,24.2679,23055.4643,23225.3393,-48.5357,-1.0000,2025-07-09 14:02:00.025035319+00:00,23104.0000,2025-07-09 14:27:48.482363249+00:00,23055.2500,stop,-1.0044,,2025-07-09 14:27:48.482363249+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-09 14:00:00+00:00,2025-07-09 14:06:00+00:00,6309.7500,2025-07-09 14:28:00+00:00,6299.1696,stop,5.2902,6299.1696,6336.2009,-10.5804,-1.0000,2025-07-09 14:06:00.013112947+00:00,6309.7500,2025-07-09 14:28:28.030582123+00:00,6299.0000,stop,-1.0160,,2025-07-09 14:28:28.030582123+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-09 12:00:00+00:00,2025-07-09 12:02:00+00:00,22934.0000,2025-07-09 13:34:00+00:00,23027.7500,target,18.7500,22896.5000,23027.7500,93.7500,2.5000,2025-07-09 12:02:03.472484777+00:00,22934.0000,2025-07-09 13:34:26.652432971+00:00,23027.7500,target,2.5000,2025-07-09 13:34:26.652432971+00:00,,
