feature,symbol,asset_class,metric_reliability,count,n_years,per_year,n_with_outcomes,pct_thesis_up,hour_mode_utc,fwd10_mfe_pts_mean,fwd10_mae_pts_mean,fwd10_ratio_mfe_mae,fwd10_last_close_thesis_mean,fwd10_last_close_thesis_hitrate,fwd50_mfe_pts_mean,fwd50_mae_pts_mean,fwd50_ratio_mfe_mae,fwd50_last_close_thesis_mean,fwd50_last_close_thesis_hitrate
swing_pivot,ZS.c.0,grain,pivot_anchored__mae_inflated,11193,9,1243.7,11192,0.486,12,16.8449,3.833,4.395,6.7987,0.669,28.7442,15.8211,1.817,6.2965,0.588
swing_pivot,ZT.c.0,bond,pivot_anchored__mae_inflated,10359,9,1151.0,10350,0.478,12,0.1075,0.0293,3.666,0.0386,0.648,0.1935,0.1166,1.66,0.0374,0.58
swing_pivot,ZW.c.0,grain,pivot_anchored__mae_inflated,11283,9,1253.7,11279,0.492,12,13.7296,3.3212,4.134,5.386,0.658,23.391,12.795,1.828,5.4018,0.584
order_block,6A.c.0,fx,reactive__comparable,7693,9,854.8,7693,0.497,0,0.0032,0.0031,1.035,0.0001,0.513,0.0069,0.0066,1.036,0.0003,0.506
order_block,6B.c.0,fx,reactive__comparable,7599,9,844.3,7599,0.5,8,0.0049,0.005,0.97,-0.0001,0.487,0.0108,0.0108,0.997,0.0002,0.502
order_block,6C.c.0,fx,reactive__comparable,5928,9,658.7,5928,0.505,16,0.0024,0.0024,0.973,-0.0,0.492,0.0049,0.0049,0.993,0.0,0.503
order_block,6E.c.0,fx,reactive__comparable,8857,9,984.1,8857,0.507,8,0.0033,0.0034,0.961,-0.0,0.5,0.0076,0.0077,0.984,0.0001,0.494
order_block,6J.c.0,fx,reactive__comparable,8000,9,888.9,8000,0.544,0,0.0,0.0,0.992,-0.0,0.5,0.0001,0.0001,1.026,0.0,0.511
order_block,6N.c.0,fx,reactive__comparable,9460,9,1051.1,9460,0.501,0,0.0028,0.0027,1.042,0.0001,0.509,0.0063,0.0061,1.035,0.0002,0.507
order_block,6S.c.0,fx,reactive__comparable,9395,9,1043.9,9395,0.519,8,0.0033,0.0034,0.982,-0.0,0.493,0.0078,0.0078,0.991,0.0001,0.503
order_block,BZ.c.0,energy,reactive__comparable,9333,9,1037.0,9332,0.463,0,1.063,1.0383,1.024,0.0125,0.498,2.4789,2.435,1.018,0.0889,0.498
