config,signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-12-20 23:00:00+00:00,0.9041,1,2020-12-20 23:03:00+00:00,3711.5000,2020-12-20 23:20:00+00:00,3703.7321,target,2.5893,3715.3839,3703.7321,7.7679,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-12-20 23:00:00+00:00,0.9136,1,2020-12-20 23:03:00+00:00,12742.5000,2020-12-20 23:11:00+00:00,12757.3393,stop,9.8929,12757.3393,12712.8214,-14.8393,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-12-20 23:00:00+00:00,0.9041,1,2020-12-20 23:03:00+00:00,3711.5000,2020-12-20 23:20:00+00:00,3703.7321,target,2.5893,3715.3839,3703.7321,7.7679,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,ES.c.0,gap_down,short,2021-03-21 22:00:00+00:00,0.9634,1,2021-03-21 22:02:00+00:00,3888.2500,2021-03-21 23:02:00+00:00,3895.3482,stop,4.7321,3895.3482,3874.0536,-7.0982,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,YM.c.0,gap_down,short,2021-03-21 22:00:00+00:00,0.8661,1,2021-03-21 22:02:00+00:00,32426.0000,2021-03-21 22:09:00+00:00,32471.4286,stop,30.2857,32471.4286,32335.1429,-45.4286,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,ES.c.0,gap_down,short,2021-03-21 22:00:00+00:00,0.9634,1,2021-03-21 22:02:00+00:00,3888.2500,2021-03-21 23:02:00+00:00,3895.3482,stop,4.7321,3895.3482,3874.0536,-7.0982,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,YM.c.0,gap_down,short,2021-03-21 22:00:00+00:00,0.8661,1,2021-03-21 22:02:00+00:00,32426.0000,2021-03-21 22:09:00+00:00,32471.4286,stop,30.2857,32471.4286,32335.1429,-45.4286,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-04-18 22:00:00+00:00,0.9150,1,2021-04-18 22:02:00+00:00,13988.0000,2021-04-18 23:05:00+00:00,14000.1607,stop,8.1071,14000.1607,13963.6786,-12.1607,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-04-18 22:00:00+00:00,0.9150,1,2021-04-18 22:02:00+00:00,13988.0000,2021-04-18 23:05:00+00:00,14000.1607,stop,8.1071,14000.1607,13963.6786,-12.1607,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-05-23 22:00:00+00:00,0.9084,1,2021-05-23 22:02:00+00:00,13381.7500,2021-05-24 00:11:00+00:00,13398.5179,stop,11.1786,13398.5179,13348.2143,-16.7679,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,YM.c.0,gap_down,short,2021-05-23 22:00:00+00:00,0.8601,1,2021-05-23 22:02:00+00:00,34132.0000,2021-05-23 22:42:00+00:00,34166.7143,stop,23.1429,34166.7143,34062.5714,-34.7143,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-05-23 22:00:00+00:00,0.9084,1,2021-05-23 22:02:00+00:00,13381.7500,2021-05-24 00:11:00+00:00,13398.5179,stop,11.1786,13398.5179,13348.2143,-16.7679,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-06-20 22:00:00+00:00,0.9191,1,2021-06-20 22:03:00+00:00,14030.5000,2021-06-21 01:03:00+00:00,14035.0000,time_exit,15.8393,14054.2589,13982.9821,-4.5000,-0.1894
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,ES.c.0,gap_down,short,2021-06-20 22:00:00+00:00,0.9634,1,2021-06-20 22:02:00+00:00,4147.7500,2021-06-21 01:02:00+00:00,4148.0000,time_exit,5.6429,4156.2143,4130.8214,-0.2500,-0.0295
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-06-20 22:00:00+00:00,0.9191,1,2021-06-20 22:03:00+00:00,14030.5000,2021-06-21 01:03:00+00:00,14035.0000,time_exit,15.8393,14054.2589,13982.9821,-4.5000,-0.1894
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,ES.c.0,gap_down,short,2021-06-20 22:00:00+00:00,0.9634,1,2021-06-20 22:02:00+00:00,4147.7500,2021-06-21 01:02:00+00:00,4148.0000,time_exit,5.6429,4156.2143,4130.8214,-0.2500,-0.0295
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-09-19 22:00:00+00:00,0.9395,1,2021-09-19 22:04:00+00:00,15298.2500,2021-09-19 22:44:00+00:00,15311.4821,stop,8.8214,15311.4821,15271.7857,-13.2321,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,ES.c.0,gap_down,short,2021-09-19 22:00:00+00:00,0.9590,1,2021-09-19 22:03:00+00:00,4413.7500,2021-09-19 22:13:00+00:00,4405.8750,target,2.6250,4417.6875,4405.8750,7.8750,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,YM.c.0,gap_down,short,2021-09-19 22:00:00+00:00,0.8905,1,2021-09-19 22:04:00+00:00,34378.0000,2021-09-20 01:04:00+00:00,34338.0000,time_exit,17.9286,34404.8929,34324.2143,40.0000,1.4874
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-09-19 22:00:00+00:00,0.9395,1,2021-09-19 22:04:00+00:00,15298.2500,2021-09-19 22:44:00+00:00,15311.4821,stop,8.8214,15311.4821,15271.7857,-13.2321,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,ES.c.0,gap_down,short,2021-09-19 22:00:00+00:00,0.9590,1,2021-09-19 22:03:00+00:00,4413.7500,2021-09-19 22:13:00+00:00,4405.8750,target,2.6250,4417.6875,4405.8750,7.8750,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,YM.c.0,gap_down,short,2021-09-19 22:00:00+00:00,0.8905,1,2021-09-19 22:04:00+00:00,34378.0000,2021-09-20 01:04:00+00:00,34338.0000,time_exit,17.9286,34404.8929,34324.2143,40.0000,1.4874
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-11-07 23:00:00+00:00,0.9023,1,2021-11-07 23:02:00+00:00,16296.2500,2021-11-07 23:03:00+00:00,16309.1875,stop,8.6250,16309.1875,16270.3750,-12.9375,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,NQ.c.0,gap_down,short,2021-11-07 23:00:00+00:00,0.9023,1,2021-11-07 23:02:00+00:00,16296.2500,2021-11-07 23:03:00+00:00,16309.1875,stop,8.6250,16309.1875,16270.3750,-12.9375,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,ES.c.0,gap_down,short,2021-12-19 23:00:00+00:00,0.9540,1,2021-12-19 23:04:00+00:00,4617.0000,2021-12-19 23:12:00+00:00,4603.1786,target,4.6071,4623.9107,4603.1786,13.8214,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2021,ES.c.0,gap_down,short,2021-12-19 23:00:00+00:00,0.9540,1,2021-12-19 23:04:00+00:00,4617.0000,2021-12-19 23:12:00+00:00,4603.1786,target,4.6071,4623.9107,4603.1786,13.8214,2.0000
