slippage,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,family,entry_hour_utc
primary_2tick,2018,NQ.c.0,bearish,short,2018-11-14 15:00:00+00:00,2018-11-14 15:02:00+00:00,6879.75,2018-11-14 18:11:00+00:00,6771.9375,target,21.5625,6922.875,6771.9375,107.8125,2.5,OB strict,
primary_2tick,2018,NQ.c.0,bullish,long,2018-11-14 19:00:00+00:00,2018-11-14 19:04:00+00:00,6756.75,2018-11-14 23:04:00+00:00,6779.75,time_exit,30.5089,6695.7321,6909.2946,23.0,0.3769,OB strict,
primary_2tick,2018,ES.c.0,bullish,long,2018-11-15 00:00:00+00:00,2018-11-15 00:05:00+00:00,2693.25,2018-11-15 04:05:00+00:00,2692.5,time_exit,10.2589,2672.7321,2744.5446,-0.75,-0.0366,OB strict,
primary_2tick,2018,ES.c.0,low,short,2018-11-15 07:00:00+00:00,2018-11-15 07:02:00+00:00,2704.5,2018-11-15 08:08:00+00:00,2713.7857,stop,4.3929,2713.2857,2682.5357,-9.2857,-1.0569,Sweep reversed (filtered),7.0
primary_2tick,2018,NQ.c.0,low,short,2018-11-15 10:00:00+00:00,2018-11-15 10:02:00+00:00,6776.0,2018-11-15 10:34:00+00:00,6803.3661,stop,13.433,6802.8661,6708.8348,-27.3661,-1.0186,Sweep reversed (filtered),10.0
primary_2tick,2018,NQ.c.0,bullish,long,2018-11-15 11:00:00+00:00,2018-11-15 11:04:00+00:00,6809.25,2018-11-15 13:09:00+00:00,6779.3125,stop,14.7188,6779.8125,6882.8438,-29.9375,-1.017,OB strict,
primary_2tick,2018,ES.c.0,low,short,2018-11-15 15:00:00+00:00,2018-11-15 15:03:00+00:00,2688.75,2018-11-15 16:24:00+00:00,2702.5357,stop,6.6429,2702.0357,2655.5357,-13.7857,-1.0376,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,bullish,long,2018-11-15 18:00:00+00:00,2018-11-15 18:04:00+00:00,2696.75,2018-11-15 21:59:00+00:00,2733.5,time_exit,8.6384,2679.4732,2739.942,36.75,2.1271,OB strict,
primary_2tick,2018,ES.c.0,bearish,short,2018-11-16 00:00:00+00:00,2018-11-16 00:02:00+00:00,2725.5,2018-11-16 04:02:00+00:00,2729.75,time_exit,9.6027,2744.7054,2677.4866,-4.25,-0.2213,OB strict,
primary_2tick,2018,NQ.c.0,bearish,short,2018-11-16 04:00:00+00:00,2018-11-16 04:02:00+00:00,6879.5,2018-11-16 08:02:00+00:00,6864.25,time_exit,16.9286,6913.3571,6794.8571,15.25,0.4504,OB strict,
primary_2tick,2018,ES.c.0,bearish,short,2018-11-16 08:00:00+00:00,2018-11-16 08:02:00+00:00,2729.0,2018-11-16 12:02:00+00:00,2720.25,time_exit,2.8661,2734.7321,2714.6696,8.75,1.5265,OB strict,
primary_2tick,2018,ES.c.0,bullish,long,2018-11-16 12:00:00+00:00,2018-11-16 12:04:00+00:00,2721.5,2018-11-16 12:22:00+00:00,2714.4107,stop,3.2946,2714.9107,2737.9732,-7.0893,-1.0759,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-11-16 15:00:00+00:00,2018-11-16 15:02:00+00:00,2728.0,2018-11-16 19:02:00+00:00,2731.0,time_exit,5.25,2717.5,2754.25,3.0,0.2857,Sweep reversed (filtered),15.0
primary_2tick,2018,NQ.c.0,bullish,long,2018-11-19 00:00:00+00:00,2018-11-19 00:02:00+00:00,6869.0,2018-11-19 04:02:00+00:00,6875.25,time_exit,24.817,6819.3661,6993.0848,6.25,0.1259,OB strict,
primary_2tick,2018,NQ.c.0,bullish,long,2018-11-19 04:00:00+00:00,2018-11-19 04:03:00+00:00,6876.25,2018-11-19 08:03:00+00:00,6893.5,time_exit,12.4554,6851.3393,6938.5268,17.25,0.6925,OB strict,
primary_2tick,2018,ES.c.0,bearish,short,2018-11-19 10:00:00+00:00,2018-11-19 10:02:00+00:00,2738.5,2018-11-19 14:02:00+00:00,2731.25,time_exit,2.5179,2743.5357,2725.9107,7.25,1.4397,OB strict,
