test_year,status,n_test,test_auc,base_rate,top10_n,top10_precision,top10_edge,candidate_name,matrix,snapshot,side,label
2023,ok,130,0.9549,0.4077,13,1.0000,0.5923,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2024,ok,142,0.9574,0.4437,14,1.0000,0.5563,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2025,ok,125,0.9546,0.4320,12,1.0000,0.5680,smt_previous_day / high / n1_primary_took_period_n_low,smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,high,label.n1_primary_took_period_n_low
2020,ok,3826,0.8852,0.2378,383,0.7572,0.5193,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2021,ok,3834,0.8816,0.2293,383,0.7807,0.5514,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2022,ok,3822,0.8880,0.2308,382,0.7539,0.5232,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2023,ok,3813,0.8938,0.2373,381,0.7953,0.5579,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2024,ok,3831,0.8840,0.2582,383,0.8042,0.5460,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2025,ok,3786,0.8975,0.2470,379,0.8522,0.6053,forming_vp / all / next_60m.took_profile_so_far_high,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_high
2020,ok,3826,0.8938,0.1657,383,0.6893,0.5236,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2021,ok,3834,0.8686,0.1839,383,0.6893,0.5054,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2022,ok,3822,0.8709,0.2159,382,0.7749,0.5590,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2023,ok,3813,0.8700,0.2119,381,0.7664,0.5545,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2024,ok,3831,0.8834,0.1926,383,0.7598,0.5672,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
2025,ok,3786,0.8728,0.1936,379,0.6966,0.5030,forming_vp / all / next_60m.took_profile_so_far_low,forming_vp_snapshots_xctx_gapctx,at_fire,all,label.next_60m.took_profile_so_far_low
