matrix,snapshot,side,label,auc,n_events,B_nat_n,B_nat_cum_r,B_nat_avg_r,B_nat_win,B_nat_dd,B_nat_yrs_pos,B_rev_n,B_rev_cum_r,B_rev_avg_r,B_rev_win,B_rev_dd,B_rev_yrs_pos,D_n,D_cum_r,D_avg_r,D_win,winning_dir,winning_cum_r,winning_avg_r,winning_yrs_pos,D_cum_r_aligned,is_type_b,skip_reason
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.zone_reaction.took_fvg_low_rejected_inside,0.7473,48708.0000,31529.0000,4372.4568,0.1387,0.4528,119.6853,6.0000,31529.0000,-3880.9012,-0.1231,0.3845,3899.3890,0.0000,3164.0000,447.0878,0.1413,0.4504,natural,4372.4568,0.1387,6.0000,447.0878,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.zone_reaction.closed_inside_fvg_range,0.7471,48708.0000,31529.0000,4372.4568,0.1387,0.4528,119.6853,6.0000,31529.0000,-3880.9012,-0.1231,0.3845,3899.3890,0.0000,3164.0000,447.0878,0.1413,0.4504,natural,4372.4568,0.1387,6.0000,447.0878,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.zone_reaction.closed_outside_fvg_range,0.7471,48708.0000,31529.0000,4372.4568,0.1387,0.4528,119.6853,6.0000,31529.0000,-3880.9012,-0.1231,0.3845,3899.3890,0.0000,3164.0000,447.0878,0.1413,0.4504,natural,4372.4568,0.1387,6.0000,447.0878,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.mitigation.fully_filled,0.7373,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_240m.filled_then_continued_through,0.7366,2319.0000,1563.0000,16.7663,0.0107,0.5240,57.7755,3.0000,1563.0000,5.1753,0.0033,0.4619,32.4250,3.0000,154.0000,-4.5687,-0.0297,0.4935,natural,16.7663,0.0107,3.0000,-4.5687,False,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.zone_reaction.took_fvg_low_rejected_inside,0.7363,106036.0000,69244.0000,10404.2763,0.1503,0.4884,90.9709,6.0000,69246.0000,-9419.0135,-0.1360,0.3654,9418.2245,0.0000,6907.0000,982.9432,0.1423,0.4811,natural,10404.2763,0.1503,6.0000,982.9432,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.zone_reaction.closed_inside_fvg_range,0.7350,57328.0000,37715.0000,6031.8195,0.1599,0.5182,90.6332,6.0000,37717.0000,-5538.1123,-0.1468,0.3494,5554.7705,0.0000,3764.0000,550.5085,0.1463,0.5133,natural,6031.8195,0.1599,6.0000,550.5085,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.zone_reaction.closed_outside_fvg_range,0.7350,57328.0000,37715.0000,6031.8195,0.1599,0.5182,90.6332,6.0000,37717.0000,-5538.1123,-0.1468,0.3494,5554.7705,0.0000,3764.0000,550.5085,0.1463,0.5133,natural,6031.8195,0.1599,6.0000,550.5085,True,
fvg_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.zone_reaction.took_fvg_high_rejected_inside,0.7343,57328.0000,37715.0000,6031.8195,0.1599,0.5182,90.6332,6.0000,37717.0000,-5538.1123,-0.1468,0.3494,5554.7705,0.0000,3764.0000,550.5085,0.1463,0.5133,natural,6031.8195,0.1599,6.0000,550.5085,True,
tp_snapshots_xctx_fvggeom_obgeom,at_fire,bearish,label.next_period.took_parent_high,0.7337,2381.0000,1551.0000,149.7714,0.0966,0.5280,11.4959,6.0000,1551.0000,-125.9184,-0.0812,0.4578,139.3423,0.0000,146.0000,6.0206,0.0412,0.4795,natural,149.7714,0.0966,6.0000,6.0206,False,
