matrix,snapshot,side,label,auc,n_events,B_nat_n,B_nat_cum_r,B_nat_avg_r,B_nat_win,B_nat_dd,B_nat_yrs_pos,B_rev_n,B_rev_cum_r,B_rev_avg_r,B_rev_win,B_rev_dd,B_rev_yrs_pos,D_n,D_cum_r,D_avg_r,D_win,winning_dir,winning_cum_r,winning_avg_r,winning_yrs_pos,D_cum_r_aligned,is_type_b,skip_reason
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,low,label.ob_confirmation.did_confirm,0.8644,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom,at_fire,low,label.manipulation_range_reaction.took_manipulation_high,0.7181,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom,at_fire,low,label.manipulation_range_reaction.one_sided_took_manipulation_low,0.7142,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,low,label.manipulation_range_reaction.one_sided_took_manipulation_low,0.7208,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,low,label.manipulation_range_reaction.took_manipulation_high,0.7224,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_fire,high,label.ob_confirmation.did_confirm,0.9012,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_fire,high,label.manipulation_range_reaction.range_expanded_2x_manipulation,0.9000,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_fire,high,label.swept_level_recovery.level_recovered,0.7936,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,high,label.swept_level_recovery.level_recovered,0.7745,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom,at_fire,high,label.manipulation_range_reaction.took_manipulation_low,0.7208,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
