signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
gap_down_rejection,2022,6S.c.0,gap_down,short,2022-09-04 22:00:00+00:00,0.8954,1,2022-09-04 22:03:00+00:00,1.0195,2022-09-05 01:59:00+00:00,1.0196,time_exit,0.0011,1.0217,1.0140,-0.0001,-0.0678
gap_down_rejection,2022,6A.c.0,gap_down,short,2022-09-04 22:00:00+00:00,0.8733,1,2022-09-04 22:02:00+00:00,0.6792,2022-09-05 02:02:00+00:00,0.6787,time_exit,0.0010,0.6811,0.6742,0.0005,0.2270
gap_down_rejection,2022,6C.c.0,gap_down,short,2022-09-04 22:00:00+00:00,0.8679,1,2022-09-04 22:02:00+00:00,0.7610,2022-09-05 02:02:00+00:00,0.7604,time_exit,0.0008,0.7625,0.7571,0.0005,0.3218
gap_down_rejection,2022,6N.c.0,gap_down,short,2022-09-04 22:00:00+00:00,0.8667,1,2022-09-04 22:02:00+00:00,0.6090,2022-09-05 02:01:00+00:00,0.6087,time_exit,0.0009,0.6108,0.6044,0.0003,0.1628
gap_down_rejection,2022,RB.c.0,gap_down,short,2022-09-04 22:00:00+00:00,0.8505,0,2022-09-04 22:55:00+00:00,2.4775,2022-09-05 02:45:00+00:00,2.4699,time_exit,0.0145,2.5064,2.4052,0.0076,0.2626
gap_down_rejection,2022,6S.c.0,gap_down,short,2022-09-05 22:00:00+00:00,0.8810,1,2022-09-05 22:05:00+00:00,1.0213,2022-09-05 22:24:00+00:00,1.0223,stop,0.0005,1.0223,1.0188,-0.0010,-1.0000
gap_down_rejection,2022,6S.c.0,gap_down,short,2022-09-07 22:00:00+00:00,0.8359,1,2022-09-07 22:21:00+00:00,1.0248,2022-09-08 02:21:00+00:00,1.0235,time_exit,0.0010,1.0268,1.0197,0.0012,0.6173
gap_down_rejection,2022,6E.c.0,gap_down,short,2022-09-08 22:00:00+00:00,0.8213,1,2022-09-08 22:06:00+00:00,1.0004,2022-09-09 00:14:00+00:00,1.0024,stop,0.0010,1.0024,0.9952,-0.0020,-1.0000
gap_down_rejection,2022,HO.c.0,gap_down,short,2022-09-11 22:00:00+00:00,0.8221,0,2022-09-11 22:04:00+00:00,3.5855,2022-09-12 02:03:00+00:00,3.5686,time_exit,0.0170,3.6196,3.5004,0.0169,0.4963
gap_down_rejection,2022,NG.c.0,gap_down,short,2022-09-11 22:00:00+00:00,0.8160,0,2022-09-11 22:04:00+00:00,8.0890,2022-09-12 01:59:00+00:00,8.0980,time_exit,0.0425,8.1740,7.8766,-0.0090,-0.1059
