_ts,y_true,p_test,threshold,pnl_r
2025-09-01 22:00:00+00:00,1,0.7469,0.6000,1.0000
2025-09-03 22:00:00+00:00,1,0.7612,0.6000,1.0000
2025-09-03 22:00:00+00:00,1,0.6149,0.6000,1.0000
2025-09-07 22:00:00+00:00,1,0.8213,0.6000,1.0000
2025-09-07 22:00:00+00:00,1,0.8213,0.6000,1.0000
2025-09-08 22:00:00+00:00,0,0.6775,0.6000,-1.0000
2025-09-10 22:00:00+00:00,0,0.6753,0.6000,-1.0000
2025-09-10 22:00:00+00:00,0,0.6846,0.6000,-1.0000
2025-09-10 22:00:00+00:00,0,0.7929,0.6000,-1.0000
2025-09-15 22:00:00+00:00,1,0.7244,0.6000,1.0000
2025-09-15 22:00:00+00:00,0,0.6292,0.6000,-1.0000
2025-09-16 22:00:00+00:00,1,0.6156,0.6000,1.0000
2025-09-16 22:00:00+00:00,0,0.7183,0.6000,-1.0000
2025-09-17 22:00:00+00:00,0,0.7179,0.6000,-1.0000
2025-09-17 22:00:00+00:00,1,0.7004,0.6000,1.0000
2025-09-18 22:00:00+00:00,0,0.7383,0.6000,-1.0000
2025-09-22 22:00:00+00:00,1,0.6213,0.6000,1.0000
2025-09-28 22:00:00+00:00,0,0.6035,0.6000,-1.0000
2025-09-28 22:00:00+00:00,0,0.6035,0.6000,-1.0000
2025-10-02 22:00:00+00:00,1,0.7114,0.6000,1.0000
2025-10-02 22:00:00+00:00,0,0.6898,0.6000,-1.0000
2025-10-06 22:00:00+00:00,0,0.6266,0.6000,-1.0000
2025-10-08 22:00:00+00:00,1,0.6958,0.6000,1.0000
2025-10-08 22:00:00+00:00,0,0.6459,0.6000,-1.0000
2025-10-09 22:00:00+00:00,0,0.7894,0.6000,-1.0000
2025-10-22 22:00:00+00:00,1,0.8003,0.6000,1.0000
2025-10-22 22:00:00+00:00,1,0.7693,0.6000,1.0000
2025-10-23 22:00:00+00:00,0,0.6549,0.6000,-1.0000
2025-10-27 22:00:00+00:00,1,0.7341,0.6000,1.0000
2025-10-28 22:00:00+00:00,1,0.6042,0.6000,1.0000
2025-10-29 22:00:00+00:00,1,0.8514,0.6000,1.0000
2025-10-29 22:00:00+00:00,1,0.8294,0.6000,1.0000
2025-10-29 22:00:00+00:00,1,0.8386,0.6000,1.0000
2025-11-03 23:00:00+00:00,1,0.6485,0.6000,1.0000
2025-11-04 23:00:00+00:00,1,0.7029,0.6000,1.0000
2025-11-04 23:00:00+00:00,0,0.7314,0.6000,-1.0000
2025-11-04 23:00:00+00:00,1,0.7491,0.6000,1.0000
2025-11-05 23:00:00+00:00,1,0.7367,0.6000,1.0000
2025-11-06 23:00:00+00:00,1,0.6641,0.6000,1.0000
2025-11-16 23:00:00+00:00,1,0.8059,0.6000,1.0000
2025-11-16 23:00:00+00:00,1,0.8059,0.6000,1.0000
2025-11-24 23:00:00+00:00,1,0.7541,0.6000,1.0000
2025-11-25 23:00:00+00:00,1,0.6514,0.6000,1.0000
2025-11-30 23:00:00+00:00,0,0.6048,0.6000,-1.0000
2025-11-30 23:00:00+00:00,0,0.7450,0.6000,-1.0000
2025-11-30 23:00:00+00:00,0,0.6048,0.6000,-1.0000
2025-11-30 23:00:00+00:00,0,0.7450,0.6000,-1.0000
2025-12-02 23:00:00+00:00,0,0.6269,0.6000,-1.0000
2025-12-03 23:00:00+00:00,1,0.8562,0.6000,1.0000
2025-12-04 23:00:00+00:00,0,0.6754,0.6000,-1.0000
2025-12-08 23:00:00+00:00,1,0.6491,0.6000,1.0000
2025-12-10 23:00:00+00:00,0,0.6894,0.6000,-1.0000
2025-12-10 23:00:00+00:00,1,0.8379,0.6000,1.0000
2025-12-10 23:00:00+00:00,1,0.8544,0.6000,1.0000
2025-12-11 23:00:00+00:00,1,0.8661,0.6000,1.0000
2025-12-11 23:00:00+00:00,1,0.8799,0.6000,1.0000
2025-12-11 23:00:00+00:00,0,0.6575,0.6000,-1.0000
2025-12-14 23:00:00+00:00,0,0.7731,0.6000,-1.0000
2025-12-14 23:00:00+00:00,0,0.7731,0.6000,-1.0000
2025-12-28 23:00:00+00:00,0,0.6754,0.6000,-1.0000
2025-12-28 23:00:00+00:00,0,0.6754,0.6000,-1.0000
2025-12-29 23:00:00+00:00,1,0.6806,0.6000,1.0000
2025-01-21 23:00:00+00:00,1,0.7043,0.7000,1.0000
2025-01-23 23:00:00+00:00,1,0.7773,0.7000,1.0000
2025-01-26 23:00:00+00:00,1,0.8913,0.7000,1.0000
2025-01-26 23:00:00+00:00,1,0.9435,0.7000,1.0000
2025-01-26 23:00:00+00:00,1,0.8993,0.7000,1.0000
2025-01-26 23:00:00+00:00,1,0.8913,0.7000,1.0000
2025-01-26 23:00:00+00:00,1,0.9435,0.7000,1.0000
2025-01-26 23:00:00+00:00,1,0.8993,0.7000,1.0000
2025-01-29 23:00:00+00:00,1,0.8617,0.7000,1.0000
2025-01-29 23:00:00+00:00,1,0.8531,0.7000,1.0000
2025-01-29 23:00:00+00:00,1,0.7606,0.7000,1.0000
2025-02-02 23:00:00+00:00,1,0.8675,0.7000,1.0000
2025-02-02 23:00:00+00:00,1,0.9170,0.7000,1.0000
2025-02-02 23:00:00+00:00,1,0.8776,0.7000,1.0000
2025-02-02 23:00:00+00:00,1,0.8675,0.7000,1.0000
2025-02-02 23:00:00+00:00,1,0.9170,0.7000,1.0000
2025-02-02 23:00:00+00:00,1,0.8776,0.7000,1.0000
2025-02-04 23:00:00+00:00,1,0.7616,0.7000,1.0000
2025-02-04 23:00:00+00:00,1,0.7373,0.7000,1.0000
2025-02-05 23:00:00+00:00,1,0.7453,0.7000,1.0000
2025-02-06 23:00:00+00:00,1,0.7902,0.7000,1.0000
2025-02-06 23:00:00+00:00,1,0.7952,0.7000,1.0000
2025-02-09 23:00:00+00:00,1,0.8581,0.7000,1.0000
2025-02-09 23:00:00+00:00,1,0.9271,0.7000,1.0000
2025-02-09 23:00:00+00:00,1,0.8777,0.7000,1.0000
2025-02-09 23:00:00+00:00,1,0.8581,0.7000,1.0000
2025-02-09 23:00:00+00:00,1,0.9271,0.7000,1.0000
2025-02-09 23:00:00+00:00,1,0.8777,0.7000,1.0000
2025-02-10 23:00:00+00:00,1,0.7172,0.7000,1.0000
2025-02-10 23:00:00+00:00,1,0.8066,0.7000,1.0000
2025-02-13 23:00:00+00:00,0,0.7433,0.7000,-1.0000
2025-02-17 23:00:00+00:00,1,0.7242,0.7000,1.0000
2025-02-18 23:00:00+00:00,0,0.7211,0.7000,-1.0000
2025-02-19 23:00:00+00:00,0,0.7529,0.7000,-1.0000
2025-02-19 23:00:00+00:00,0,0.7285,0.7000,-1.0000
2025-02-26 23:00:00+00:00,1,0.7313,0.7000,1.0000
2025-02-26 23:00:00+00:00,1,0.8532,0.7000,1.0000
2025-02-26 23:00:00+00:00,1,0.7762,0.7000,1.0000
2025-03-09 22:00:00+00:00,1,0.8761,0.7000,1.0000
2025-03-09 22:00:00+00:00,1,0.9249,0.7000,1.0000
2025-03-09 22:00:00+00:00,1,0.8716,0.7000,1.0000
2025-03-09 22:00:00+00:00,1,0.8761,0.7000,1.0000
2025-03-09 22:00:00+00:00,1,0.9249,0.7000,1.0000
2025-03-09 22:00:00+00:00,1,0.8716,0.7000,1.0000
2025-03-10 22:00:00+00:00,1,0.7857,0.7000,1.0000
2025-03-25 22:00:00+00:00,1,0.7183,0.7000,1.0000
2025-03-26 22:00:00+00:00,1,0.8646,0.7000,1.0000
