variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-19 07:00:00+00:00,2021-11-19 07:06:00+00:00,4719.7500,2021-11-19 09:28:00+00:00,4714.5268,stop,2.6116,4714.5268,4732.8080,-5.2232,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-19 10:00:00+00:00,2021-11-19 10:03:00+00:00,4698.7500,2021-11-19 14:03:00+00:00,4691.2500,time_exit,3.0536,4704.8571,4683.4821,7.5000,1.2281
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-19 08:00:00+00:00,2021-11-19 08:02:00+00:00,4717.5000,2021-11-19 09:44:00+00:00,4704.1071,target,2.6786,4722.8571,4704.1071,13.3929,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-19 15:00:00+00:00,2021-11-19 15:03:00+00:00,16608.7500,2021-11-19 15:26:00+00:00,16563.1875,stop,22.7812,16563.1875,16722.6562,-45.5625,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-19 15:00:00+00:00,2021-11-19 15:06:00+00:00,4699.0000,2021-11-19 19:06:00+00:00,4700.0000,time_exit,6.7232,4685.5536,4732.6161,1.0000,0.0744
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-21 23:00:00+00:00,2021-11-21 23:03:00+00:00,4702.2500,2021-11-22 03:03:00+00:00,4706.7500,time_exit,5.5179,4713.2857,4674.6607,-4.5000,-0.4078
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-21 23:00:00+00:00,2021-11-21 23:02:00+00:00,16617.2500,2021-11-22 03:02:00+00:00,16624.5000,time_exit,25.9554,16565.3393,16747.0268,7.2500,0.1397
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-22 00:00:00+00:00,2021-11-22 00:05:00+00:00,4698.2500,2021-11-22 03:26:00+00:00,4707.9464,stop,4.8482,4707.9464,4674.0089,-9.6964,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-22 03:00:00+00:00,2021-11-22 03:07:00+00:00,4707.0000,2021-11-22 07:07:00+00:00,4706.5000,time_exit,3.3482,4700.3036,4723.7411,-0.5000,-0.0747
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-22 00:00:00+00:00,2021-11-22 00:02:00+00:00,16587.7500,2021-11-22 04:02:00+00:00,16626.7500,time_exit,22.1920,16543.3661,16698.7098,39.0000,0.8787
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-22 00:00:00+00:00,2021-11-22 00:02:00+00:00,4696.7500,2021-11-22 04:02:00+00:00,4708.7500,time_exit,4.8482,4687.0536,4720.9911,12.0000,1.2376
