test_year,signal_name,fire_ts,symbol,anchor_side,p_test,y_true,direction_rule
2021,ogap_gap_down_rejection,2021-03-21 22:00:00+00:00,YM.c.0,gap_down,0.8661,1,fixed_short
2021,ogap_gap_down_rejection,2021-03-21 22:00:00+00:00,ES.c.0,gap_down,0.9634,1,fixed_short
2021,ogap_gap_down_rejection,2021-03-21 22:00:00+00:00,YM.c.0,gap_down,0.8661,1,fixed_short
2021,ogap_gap_down_rejection,2021-04-18 22:00:00+00:00,NQ.c.0,gap_down,0.9150,1,fixed_short
2021,ogap_gap_down_rejection,2021-04-18 22:00:00+00:00,NQ.c.0,gap_down,0.9150,1,fixed_short
2021,ogap_gap_down_rejection,2021-05-16 22:00:00+00:00,NQ.c.0,gap_down,0.8886,1,fixed_short
2021,ogap_gap_down_rejection,2021-05-16 22:00:00+00:00,NQ.c.0,gap_down,0.8886,1,fixed_short
2021,ogap_gap_down_rejection,2021-05-23 22:00:00+00:00,NQ.c.0,gap_down,0.9084,1,fixed_short
2021,ogap_gap_down_rejection,2021-05-23 22:00:00+00:00,YM.c.0,gap_down,0.8601,1,fixed_short
2021,ogap_gap_down_rejection,2021-05-23 22:00:00+00:00,NQ.c.0,gap_down,0.9084,1,fixed_short
2021,ogap_gap_down_rejection,2021-06-20 22:00:00+00:00,NQ.c.0,gap_down,0.9191,1,fixed_short
2021,ogap_gap_down_rejection,2021-06-20 22:00:00+00:00,ES.c.0,gap_down,0.9634,1,fixed_short
2021,ogap_gap_down_rejection,2021-06-20 22:00:00+00:00,NQ.c.0,gap_down,0.9191,1,fixed_short
2021,ogap_gap_down_rejection,2021-06-20 22:00:00+00:00,ES.c.0,gap_down,0.9634,1,fixed_short
2021,ogap_gap_down_rejection,2021-09-19 22:00:00+00:00,NQ.c.0,gap_down,0.9395,1,fixed_short
2021,ogap_gap_down_rejection,2021-09-19 22:00:00+00:00,ES.c.0,gap_down,0.9590,1,fixed_short
2021,ogap_gap_down_rejection,2021-09-19 22:00:00+00:00,YM.c.0,gap_down,0.8905,1,fixed_short
2021,ogap_gap_down_rejection,2021-09-19 22:00:00+00:00,NQ.c.0,gap_down,0.9395,1,fixed_short
2021,ogap_gap_down_rejection,2021-09-19 22:00:00+00:00,ES.c.0,gap_down,0.9590,1,fixed_short
2021,ogap_gap_down_rejection,2021-09-19 22:00:00+00:00,YM.c.0,gap_down,0.8905,1,fixed_short
2021,ogap_gap_down_rejection,2021-11-07 23:00:00+00:00,NQ.c.0,gap_down,0.9023,1,fixed_short
2021,ogap_gap_down_rejection,2021-11-07 23:00:00+00:00,NQ.c.0,gap_down,0.9023,1,fixed_short
2021,ogap_gap_down_rejection,2021-12-19 23:00:00+00:00,ES.c.0,gap_down,0.9540,1,fixed_short
2021,ogap_gap_down_rejection,2021-12-19 23:00:00+00:00,ES.c.0,gap_down,0.9540,1,fixed_short
