signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
smt_pd_high_thesis,2023,YM.c.0,high,short,2023-08-08 00:00:00+00:00,0.9573,1,2023-08-08 00:02:00+00:00,35560.0000,2023-08-08 00:05:00+00:00,35549.8571,target,5.0714,35565.0714,35549.8571,10.1429,2.0000
smt_pd_high_thesis,2023,YM.c.0,high,short,2023-08-17 03:00:00+00:00,0.9448,1,2023-08-17 03:09:00+00:00,34849.0000,2023-08-17 03:28:00+00:00,34861.9286,stop,12.9286,34861.9286,34823.1429,-12.9286,-1.0000
smt_pd_high_thesis,2023,NQ.c.0,high,short,2023-09-12 03:00:00+00:00,0.9734,1,2023-09-12 03:02:00+00:00,15461.5000,2023-09-12 03:05:00+00:00,15466.0179,stop,4.5179,15466.0179,15452.4643,-4.5179,-1.0000
smt_pd_high_thesis,2023,ES.c.0,high,short,2023-10-01 22:00:00+00:00,0.9632,1,2023-10-01 22:02:00+00:00,4349.0000,2023-10-01 22:04:00+00:00,4341.8571,target,3.5714,4352.5714,4341.8571,7.1429,2.0000
smt_pd_high_thesis,2023,ES.c.0,high,short,2023-10-03 07:00:00+00:00,0.9739,1,2023-10-03 07:04:00+00:00,4324.7500,2023-10-03 07:20:00+00:00,4322.0000,target,1.3750,4326.1250,4322.0000,2.7500,2.0000
smt_pd_high_thesis,2023,YM.c.0,high,short,2023-10-18 02:00:00+00:00,0.9696,1,2023-10-18 02:05:00+00:00,34122.0000,2023-10-18 03:05:00+00:00,34120.0000,time_exit,11.5714,34133.5714,34098.8571,2.0000,0.1728
smt_pd_high_thesis,2023,ES.c.0,high,short,2023-10-19 01:00:00+00:00,0.9641,1,2023-10-19 01:03:00+00:00,4346.0000,2023-10-19 01:11:00+00:00,4348.1964,stop,2.1964,4348.1964,4341.6071,-2.1964,-1.0000
smt_pd_high_thesis,2024,ES.c.0,high,short,2024-01-02 01:00:00+00:00,0.9573,1,2024-01-02 01:06:00+00:00,4822.5000,2024-01-02 01:13:00+00:00,4821.0357,target,0.7321,4823.2321,4821.0357,1.4643,2.0000
smt_pd_high_thesis,2024,ES.c.0,high,short,2024-01-31 00:00:00+00:00,0.9641,1,2024-01-31 00:10:00+00:00,4932.7500,2024-01-31 01:10:00+00:00,4932.5000,time_exit,2.5357,4935.2857,4927.6786,0.2500,0.0986
smt_pd_high_thesis,2024,NQ.c.0,high,short,2024-03-04 08:00:00+00:00,0.9744,1,2024-03-04 08:02:00+00:00,18354.0000,2024-03-04 08:03:00+00:00,18359.5179,stop,5.5179,18359.5179,18342.9643,-5.5179,-1.0000
