fire_ts,symbol,side,range_far,their_label,my_label,agree
2025-03-31 07:00:00+00:00,ES.c.0,bullish,5576.25,1,1.0,True
2024-03-12 00:00:00+00:00,YM.c.0,bearish,38845.0,1,0.0,False
2023-05-03 07:00:00+00:00,NQ.c.0,bullish,13182.25,0,0.0,True
2024-09-24 15:00:00+00:00,YM.c.0,bearish,42622.0,0,1.0,False
2015-04-14 23:00:00+00:00,ES.c.0,bearish,2091.75,0,0.0,True
2019-01-09 00:00:00+00:00,NQ.c.0,bearish,6571.0,1,1.0,True
2022-04-14 04:00:00+00:00,YM.c.0,bearish,34533.0,0,1.0,False
2020-10-01 00:00:00+00:00,YM.c.0,bearish,27904.0,0,0.0,True
2017-04-30 23:00:00+00:00,NQ.c.0,bullish,5573.5,0,0.0,True
2022-12-22 20:00:00+00:00,NQ.c.0,bullish,10998.5,0,1.0,False
2023-07-11 07:00:00+00:00,ES.c.0,bearish,4455.25,0,0.0,True
2021-03-23 00:00:00+00:00,NQ.c.0,bearish,13087.75,0,1.0,False
2025-09-17 16:00:00+00:00,YM.c.0,bearish,46097.0,1,1.0,True
2017-03-02 08:00:00+00:00,YM.c.0,bearish,21119.0,0,0.0,True
2025-12-11 00:00:00+00:00,NQ.c.0,bearish,25811.25,0,0.0,True
2020-02-27 17:00:00+00:00,NQ.c.0,bullish,8702.0,1,1.0,True
2025-07-01 07:00:00+00:00,NQ.c.0,bullish,22827.25,1,1.0,True
2018-07-25 08:00:00+00:00,YM.c.0,bearish,25222.0,0,1.0,False
2019-02-05 00:00:00+00:00,NQ.c.0,bearish,6963.25,0,0.0,True
2023-10-16 01:00:00+00:00,YM.c.0,bearish,33884.0,0,1.0,False
2017-10-23 01:00:00+00:00,ES.c.0,bearish,2576.5,0,0.0,True
2017-03-24 12:00:00+00:00,NQ.c.0,bullish,5355.25,0,0.0,True
2022-04-01 19:00:00+00:00,ES.c.0,bullish,4518.0,0,1.0,False
2023-01-05 16:00:00+00:00,NQ.c.0,bullish,10834.5,0,1.0,False
2018-08-16 07:00:00+00:00,YM.c.0,bearish,25326.0,1,0.0,False
2024-04-22 00:00:00+00:00,YM.c.0,bearish,38319.0,0,1.0,False
2023-08-25 07:00:00+00:00,ES.c.0,bullish,4379.5,0,0.0,True
2016-09-20 00:00:00+00:00,NQ.c.0,bullish,4793.0,0,1.0,False
2025-09-08 23:00:00+00:00,YM.c.0,bearish,45629.0,0,1.0,False
2017-08-10 04:00:00+00:00,NQ.c.0,bearish,5924.5,0,0.0,True
2023-10-11 15:00:00+00:00,YM.c.0,bearish,33942.0,0,1.0,False
2015-11-26 17:00:00+00:00,NQ.c.0,bearish,4697.5,0,1.0,False
2021-01-15 00:00:00+00:00,NQ.c.0,bullish,12881.0,1,0.0,False
2017-02-23 00:00:00+00:00,YM.c.0,bearish,20769.0,0,0.0,True
2018-02-05 00:00:00+00:00,ES.c.0,bearish,2696.0,0,1.0,False
2018-08-10 00:00:00+00:00,YM.c.0,bearish,25508.0,0,0.0,True
2017-09-20 10:00:00+00:00,ES.c.0,bearish,2505.75,0,0.0,True
2023-05-25 15:00:00+00:00,ES.c.0,bearish,4153.5,1,1.0,True
2015-11-24 09:00:00+00:00,YM.c.0,bullish,17633.0,0,0.0,True
2024-11-08 00:00:00+00:00,NQ.c.0,bearish,21230.75,1,1.0,True
2018-04-12 15:00:00+00:00,ES.c.0,bearish,2670.25,0,0.0,True
2019-11-28 01:00:00+00:00,YM.c.0,bullish,28064.0,0,1.0,False
2015-10-05 23:00:00+00:00,ES.c.0,bearish,1980.0,0,0.0,True
2023-01-18 08:00:00+00:00,YM.c.0,bullish,34021.0,1,1.0,True
2019-08-15 23:00:00+00:00,ES.c.0,bearish,2858.0,1,0.0,False
2021-09-13 16:00:00+00:00,ES.c.0,bullish,4451.75,0,0.0,True
2016-07-14 23:00:00+00:00,ES.c.0,bearish,2158.75,0,0.0,True
2018-12-03 12:00:00+00:00,NQ.c.0,bearish,7115.0,0,0.0,True
2025-01-29 12:00:00+00:00,ES.c.0,bearish,6095.75,0,1.0,False
2018-04-11 17:00:00+00:00,NQ.c.0,bearish,6648.25,0,0.0,True
2019-09-16 10:00:00+00:00,NQ.c.0,bullish,7815.0,0,0.0,True
2019-01-17 00:00:00+00:00,NQ.c.0,bullish,6659.5,1,1.0,True
2022-08-22 02:00:00+00:00,NQ.c.0,bullish,13177.0,0,0.0,True
2018-08-14 15:00:00+00:00,NQ.c.0,bullish,7409.5,0,0.0,True
2022-10-14 12:00:00+00:00,ES.c.0,bearish,3632.5,0,1.0,False
2020-02-12 09:00:00+00:00,NQ.c.0,bearish,9584.5,0,0.0,True
2015-03-12 00:00:00+00:00,YM.c.0,bullish,17843.0,0,1.0,False
2023-12-11 08:00:00+00:00,NQ.c.0,bearish,16068.25,1,1.0,True
2016-05-03 04:00:00+00:00,ES.c.0,bearish,2076.0,0,0.0,True
2015-07-06 23:00:00+00:00,ES.c.0,bearish,2072.75,0,0.0,True
2020-04-07 16:00:00+00:00,YM.c.0,bearish,22635.0,0,1.0,False
2018-12-06 20:00:00+00:00,YM.c.0,bullish,24422.0,0,0.0,True
2017-01-03 12:00:00+00:00,YM.c.0,bearish,19800.0,0,1.0,False
2015-03-19 08:00:00+00:00,ES.c.0,bearish,2098.75,0,1.0,False
2015-12-03 04:00:00+00:00,ES.c.0,bullish,2075.75,0,0.0,True
2024-09-11 19:00:00+00:00,YM.c.0,bullish,40762.0,0,0.0,True
2026-03-04 00:00:00+00:00,NQ.c.0,bullish,24669.75,1,0.0,False
2018-06-14 08:00:00+00:00,NQ.c.0,bullish,7195.5,0,1.0,False
2018-05-11 07:00:00+00:00,YM.c.0,bearish,24745.0,0,0.0,True
2015-02-04 00:00:00+00:00,NQ.c.0,bearish,4221.75,0,0.0,True
2018-01-18 15:00:00+00:00,YM.c.0,bearish,26021.0,1,1.0,True
2018-10-08 00:00:00+00:00,YM.c.0,bullish,26469.0,0,1.0,False
2018-07-12 08:00:00+00:00,NQ.c.0,bearish,7282.25,0,1.0,False
2016-01-19 02:00:00+00:00,YM.c.0,bearish,16028.0,0,1.0,False
2021-02-19 00:00:00+00:00,NQ.c.0,bearish,13638.5,0,0.0,True
2019-06-20 14:00:00+00:00,NQ.c.0,bearish,7749.0,0,1.0,False
2015-02-12 04:00:00+00:00,ES.c.0,bullish,2058.5,0,0.0,True
2017-04-20 07:00:00+00:00,ES.c.0,bullish,2334.5,0,0.0,True
2020-07-23 16:00:00+00:00,YM.c.0,bearish,26655.0,0,1.0,False
2018-02-01 14:00:00+00:00,NQ.c.0,bullish,6904.25,0,1.0,False
2019-08-21 23:00:00+00:00,YM.c.0,bearish,26319.0,0,0.0,True
2021-11-17 04:00:00+00:00,NQ.c.0,bearish,16323.75,0,0.0,True
2018-08-15 00:00:00+00:00,ES.c.0,bearish,2842.75,0,0.0,True
2021-08-19 23:00:00+00:00,NQ.c.0,bearish,14949.0,1,0.0,False
2019-01-18 08:00:00+00:00,ES.c.0,bearish,2642.75,1,1.0,True
2021-10-25 00:00:00+00:00,NQ.c.0,bullish,15297.75,0,0.0,True
2020-04-14 23:00:00+00:00,ES.c.0,bearish,2844.5,0,0.0,True
2017-03-08 14:00:00+00:00,YM.c.0,bearish,20939.0,0,1.0,False
2020-10-21 04:00:00+00:00,YM.c.0,bearish,28378.0,0,0.0,True
2021-04-19 16:00:00+00:00,YM.c.0,bullish,33865.0,0,0.0,True
2017-07-20 15:00:00+00:00,YM.c.0,bearish,21559.0,1,1.0,True
2016-08-24 20:00:00+00:00,NQ.c.0,bullish,4770.75,0,0.0,True
2015-08-12 16:00:00+00:00,ES.c.0,bullish,2065.25,0,1.0,False
2018-07-19 12:00:00+00:00,ES.c.0,bullish,2809.25,1,1.0,True
2017-01-11 04:00:00+00:00,NQ.c.0,bearish,5047.0,0,0.0,True
2018-11-02 09:00:00+00:00,ES.c.0,bearish,2764.0,0,0.0,True
2019-12-11 00:00:00+00:00,YM.c.0,bearish,27931.0,0,0.0,True
2018-10-30 04:00:00+00:00,YM.c.0,bullish,24354.0,0,0.0,True
2026-05-01 07:00:00+00:00,YM.c.0,bearish,49916.0,0,0.0,True
2024-03-06 00:00:00+00:00,YM.c.0,bullish,38478.0,0,0.0,True
2024-09-25 14:00:00+00:00,NQ.c.0,bearish,20234.0,0,1.0,False
2016-02-02 04:00:00+00:00,NQ.c.0,bearish,4279.25,0,0.0,True
2025-12-01 06:00:00+00:00,YM.c.0,bullish,47490.0,0,0.0,True
2021-02-23 12:00:00+00:00,ES.c.0,bullish,3855.5,0,1.0,False
2023-07-10 15:00:00+00:00,YM.c.0,bearish,34126.0,0,0.0,True
2021-10-27 00:00:00+00:00,YM.c.0,bearish,35677.0,0,1.0,False
2023-11-22 19:00:00+00:00,ES.c.0,bearish,4566.75,1,1.0,True
2025-11-21 00:00:00+00:00,YM.c.0,bullish,45786.0,0,0.0,True
2016-06-08 07:00:00+00:00,NQ.c.0,bullish,4513.25,1,1.0,True
2017-07-05 00:00:00+00:00,NQ.c.0,bullish,5578.0,0,1.0,False
2016-06-08 23:00:00+00:00,YM.c.0,bearish,17998.0,1,0.0,False
2024-08-20 23:00:00+00:00,YM.c.0,bullish,40916.0,0,0.0,True
2016-10-24 08:00:00+00:00,YM.c.0,bearish,18159.0,0,1.0,False
2024-04-22 04:00:00+00:00,NQ.c.0,bullish,17200.75,0,0.0,True
2017-02-27 16:00:00+00:00,ES.c.0,bearish,2366.0,0,1.0,False
2015-03-26 15:00:00+00:00,YM.c.0,bullish,17592.0,0,1.0,False
2019-01-03 16:00:00+00:00,YM.c.0,bullish,22644.0,0,0.0,True
2022-07-04 07:00:00+00:00,ES.c.0,bearish,3817.0,0,0.0,True
2018-08-28 04:00:00+00:00,NQ.c.0,bearish,7581.0,0,1.0,False
2016-12-15 10:00:00+00:00,ES.c.0,bullish,2258.0,1,1.0,True
2019-01-04 01:00:00+00:00,NQ.c.0,bullish,6161.0,1,1.0,True
2022-02-09 16:00:00+00:00,ES.c.0,bearish,4572.75,0,1.0,False
2025-08-22 07:00:00+00:00,YM.c.0,bullish,44746.0,0,0.0,True
2016-09-14 00:00:00+00:00,ES.c.0,bullish,2129.5,0,1.0,False
2024-05-08 04:00:00+00:00,NQ.c.0,bearish,18215.5,1,0.0,False
2021-05-10 23:00:00+00:00,NQ.c.0,bullish,13305.5,1,0.0,False
2015-07-07 15:00:00+00:00,YM.c.0,bullish,17398.0,0,1.0,False
2015-04-09 23:00:00+00:00,NQ.c.0,bearish,4400.0,0,0.0,True
2018-02-05 16:00:00+00:00,ES.c.0,bullish,2734.25,1,0.0,False
2023-09-25 08:00:00+00:00,YM.c.0,bearish,34358.0,0,0.0,True
2016-10-04 00:00:00+00:00,NQ.c.0,bearish,4875.5,0,0.0,True
2025-09-30 01:00:00+00:00,NQ.c.0,bearish,24837.75,1,0.0,False
2016-08-07 23:00:00+00:00,YM.c.0,bearish,18481.0,0,0.0,True
2016-03-22 04:00:00+00:00,YM.c.0,bearish,17546.0,0,0.0,True
2022-03-01 17:00:00+00:00,ES.c.0,bullish,4294.25,0,1.0,False
2023-04-20 10:00:00+00:00,ES.c.0,bullish,4147.0,0,0.0,True
2024-10-16 08:00:00+00:00,YM.c.0,bullish,42966.0,0,0.0,True
2017-01-10 17:00:00+00:00,NQ.c.0,bearish,5046.25,0,0.0,True
2020-04-16 23:00:00+00:00,YM.c.0,bearish,24276.0,0,1.0,False
2020-11-11 19:00:00+00:00,ES.c.0,bearish,3564.25,1,1.0,True
2022-08-09 23:00:00+00:00,ES.c.0,bullish,4126.25,1,0.0,False
2023-01-09 08:00:00+00:00,YM.c.0,bearish,33875.0,0,0.0,True
2023-01-24 04:00:00+00:00,YM.c.0,bearish,33747.0,1,0.0,False
2015-11-05 00:00:00+00:00,YM.c.0,bullish,17775.0,1,0.0,False
2016-09-12 00:00:00+00:00,YM.c.0,bullish,18016.0,0,1.0,False
2023-10-19 23:00:00+00:00,YM.c.0,bullish,33510.0,1,1.0,True
2017-03-29 09:00:00+00:00,NQ.c.0,bearish,5410.75,0,1.0,False
2018-09-18 00:00:00+00:00,NQ.c.0,bullish,7397.5,0,1.0,False
2019-05-22 17:00:00+00:00,NQ.c.0,bullish,7427.5,0,1.0,False
2024-03-25 23:00:00+00:00,NQ.c.0,bullish,18507.5,0,0.0,True
2020-12-07 04:00:00+00:00,YM.c.0,bearish,30265.0,0,0.0,True
2016-04-28 13:00:00+00:00,YM.c.0,bullish,17838.0,0,1.0,False
2017-06-29 04:00:00+00:00,NQ.c.0,bearish,5776.0,0,0.0,True
2025-05-20 00:00:00+00:00,NQ.c.0,bearish,21544.5,0,1.0,False
2022-07-14 16:00:00+00:00,ES.c.0,bullish,3750.0,0,1.0,False
2020-02-24 00:00:00+00:00,ES.c.0,bearish,3305.25,0,0.0,True
2021-08-25 08:00:00+00:00,YM.c.0,bullish,35302.0,0,1.0,False
2015-06-12 00:00:00+00:00,NQ.c.0,bearish,4486.0,0,1.0,False
2018-03-22 17:00:00+00:00,YM.c.0,bullish,24275.0,1,1.0,True
2020-09-02 15:00:00+00:00,NQ.c.0,bearish,12354.5,0,0.0,True
2025-03-04 08:00:00+00:00,YM.c.0,bullish,43224.0,0,1.0,False
2022-10-05 15:00:00+00:00,ES.c.0,bullish,3734.0,0,0.0,True
2019-08-19 15:00:00+00:00,YM.c.0,bearish,26211.0,0,0.0,True
2016-10-12 00:00:00+00:00,ES.c.0,bullish,2131.75,0,0.0,True
2022-11-28 08:00:00+00:00,NQ.c.0,bullish,11666.0,0,0.0,True
2023-09-01 12:00:00+00:00,ES.c.0,bearish,4528.0,0,1.0,False
2023-08-18 12:00:00+00:00,YM.c.0,bullish,34499.0,0,1.0,False
2022-07-27 23:00:00+00:00,NQ.c.0,bearish,12690.0,0,0.0,True
2019-08-22 04:00:00+00:00,YM.c.0,bearish,26319.0,0,0.0,True
2022-07-28 16:00:00+00:00,NQ.c.0,bearish,12695.25,1,0.0,False
2020-06-05 04:00:00+00:00,ES.c.0,bullish,3108.25,0,0.0,True
2025-03-20 23:00:00+00:00,YM.c.0,bullish,41855.0,0,0.0,True
2023-12-05 15:00:00+00:00,ES.c.0,bullish,4568.5,1,1.0,True
2023-11-02 23:00:00+00:00,YM.c.0,bearish,33926.0,1,0.0,False
2018-05-23 18:00:00+00:00,YM.c.0,bullish,24769.0,0,1.0,False
2021-07-29 20:00:00+00:00,YM.c.0,bearish,34957.0,0,1.0,False
2023-08-30 23:00:00+00:00,NQ.c.0,bearish,15514.75,0,0.0,True
2017-08-02 15:00:00+00:00,ES.c.0,bullish,2463.25,0,0.0,True
2016-02-05 04:00:00+00:00,ES.c.0,bullish,1900.5,1,0.0,False
2022-10-17 14:00:00+00:00,NQ.c.0,bearish,11117.0,0,1.0,False
2017-02-21 04:00:00+00:00,NQ.c.0,bearish,5341.5,0,0.0,True
2016-10-20 04:00:00+00:00,YM.c.0,bearish,18178.0,0,0.0,True
2025-02-26 00:00:00+00:00,ES.c.0,bullish,5964.25,0,0.0,True
2019-08-06 17:00:00+00:00,ES.c.0,bullish,2861.5,1,1.0,True
2022-09-04 23:00:00+00:00,YM.c.0,bullish,31277.0,0,0.0,True
2016-09-02 12:00:00+00:00,ES.c.0,bullish,2169.25,0,1.0,False
2025-08-08 04:00:00+00:00,NQ.c.0,bearish,23583.0,0,0.0,True
2023-08-21 12:00:00+00:00,ES.c.0,bearish,4398.5,1,1.0,True
2025-03-20 08:00:00+00:00,YM.c.0,bearish,41974.0,0,1.0,False
2018-05-07 07:00:00+00:00,NQ.c.0,bearish,6831.75,0,0.0,True
2016-11-14 08:00:00+00:00,NQ.c.0,bearish,4776.25,0,0.0,True
2015-05-22 04:00:00+00:00,YM.c.0,bearish,18279.0,0,1.0,False
2018-04-04 13:00:00+00:00,YM.c.0,bullish,23505.0,0,1.0,False
2018-08-15 00:00:00+00:00,YM.c.0,bearish,25268.0,0,1.0,False
2019-01-15 06:00:00+00:00,NQ.c.0,bearish,6606.0,1,0.0,False
2022-10-05 20:00:00+00:00,NQ.c.0,bearish,11648.5,0,1.0,False
2023-01-15 23:00:00+00:00,ES.c.0,bearish,4024.25,0,0.0,True
2019-11-28 00:00:00+00:00,NQ.c.0,bearish,8458.75,0,0.0,True
2015-12-03 04:00:00+00:00,NQ.c.0,bullish,4679.5,0,0.0,True
2023-10-26 12:00:00+00:00,ES.c.0,bullish,4190.75,1,1.0,True
2015-10-20 20:00:00+00:00,YM.c.0,bearish,17168.0,0,0.0,True
2015-10-22 04:00:00+00:00,YM.c.0,bullish,17041.0,0,0.0,True
2023-10-26 18:00:00+00:00,ES.c.0,bullish,4184.25,1,1.0,True
2020-05-01 00:00:00+00:00,ES.c.0,bearish,2881.25,0,0.0,True
2020-11-09 16:00:00+00:00,NQ.c.0,bearish,12260.5,0,0.0,True
2016-08-10 01:00:00+00:00,YM.c.0,bullish,18447.0,0,1.0,False
2019-11-22 16:00:00+00:00,NQ.c.0,bearish,8313.5,0,0.0,True
2016-06-02 23:00:00+00:00,NQ.c.0,bearish,4533.0,0,0.0,True
2017-08-10 23:00:00+00:00,NQ.c.0,bullish,5767.25,0,0.0,True
2017-04-06 09:00:00+00:00,ES.c.0,bullish,2343.75,0,0.0,True
2016-08-23 04:00:00+00:00,ES.c.0,bearish,2182.75,0,1.0,False
2017-06-27 15:00:00+00:00,ES.c.0,bullish,2429.25,1,0.0,False
2018-10-04 13:00:00+00:00,YM.c.0,bearish,26758.0,0,1.0,False
2021-03-11 11:00:00+00:00,ES.c.0,bearish,3924.75,1,1.0,True
2021-06-25 00:00:00+00:00,YM.c.0,bullish,34203.0,0,1.0,False
2022-08-10 04:00:00+00:00,NQ.c.0,bullish,13006.0,0,0.0,True
2022-01-25 04:00:00+00:00,ES.c.0,bullish,4349.0,0,1.0,False
2025-07-30 04:00:00+00:00,ES.c.0,bullish,6396.25,0,0.0,True
2020-05-22 08:00:00+00:00,ES.c.0,bullish,2915.5,0,1.0,False
2022-07-15 00:00:00+00:00,NQ.c.0,bearish,11843.5,1,1.0,True
