config,test_year,n,cum_r,win_rate
v5_stop1.0_tgt2.5_tw180,2025,118,-69.0000,0.1186
v5_stop1.0_tgt3.0_tw180,2020,102,93.5410,0.4706
v5_stop1.0_tgt3.0_tw180,2021,79,13.0942,0.3038
v5_stop1.0_tgt3.0_tw180,2022,99,-19.0000,0.2020
v5_stop1.0_tgt3.0_tw180,2023,110,17.1994,0.3727
v5_stop1.0_tgt3.0_tw180,2024,121,55.1492,0.4050
v5_stop1.0_tgt3.0_tw180,2025,118,-62.0000,0.1186
v5_stop1.0_tgt3.5_tw180,2020,102,109.7632,0.4706
v5_stop1.0_tgt3.5_tw180,2021,79,17.0942,0.3038
v5_stop1.0_tgt3.5_tw180,2022,99,-30.2603,0.1616
v5_stop1.0_tgt3.5_tw180,2023,110,4.0045,0.3364
v5_stop1.0_tgt3.5_tw180,2024,121,51.8492,0.3719
v5_stop1.0_tgt3.5_tw180,2025,118,-55.0000,0.1186
v5_stop1.0_tgt4.0_tw180,2020,102,129.4508,0.4706
v5_stop1.0_tgt4.0_tw180,2021,79,1.0942,0.2532
v5_stop1.0_tgt4.0_tw180,2022,99,-45.9761,0.1616
v5_stop1.0_tgt4.0_tw180,2023,110,10.0045,0.3364
v5_stop1.0_tgt4.0_tw180,2024,121,65.3492,0.3719
v5_stop1.0_tgt4.0_tw180,2025,118,-48.0000,0.1186
v5_stop1.25_tgt2.5_tw180,2020,102,68.2621,0.5882
v5_stop1.25_tgt2.5_tw180,2021,79,11.7656,0.3544
v5_stop1.25_tgt2.5_tw180,2022,99,-39.0000,0.2020
v5_stop1.25_tgt2.5_tw180,2023,110,7.8410,0.4455
v5_stop1.25_tgt2.5_tw180,2024,121,58.0354,0.5537
v5_stop1.25_tgt2.5_tw180,2025,118,-66.8031,0.1864
v5_stop1.25_tgt3.0_tw180,2020,102,79.0949,0.5490
v5_stop1.25_tgt3.0_tw180,2021,79,14.5056,0.3544
v5_stop1.25_tgt3.0_tw180,2022,99,-31.0000,0.2020
v5_stop1.25_tgt3.0_tw180,2023,110,14.2556,0.4455
v5_stop1.25_tgt3.0_tw180,2024,121,73.6354,0.5537
v5_stop1.25_tgt3.0_tw180,2025,118,-61.2031,0.1864
v5_stop1.25_tgt3.5_tw180,2020,102,92.0726,0.5490
v5_stop1.25_tgt3.5_tw180,2021,79,17.7056,0.3544
v5_stop1.25_tgt3.5_tw180,2022,99,-40.8082,0.1616
v5_stop1.25_tgt3.5_tw180,2023,110,2.8996,0.4091
v5_stop1.25_tgt3.5_tw180,2024,121,56.5954,0.4876
v5_stop1.25_tgt3.5_tw180,2025,118,-55.6031,0.1864
v5_stop1.25_tgt4.0_tw180,2020,102,107.8227,0.5490
v5_stop1.25_tgt4.0_tw180,2021,79,4.1056,0.3038
v5_stop1.25_tgt4.0_tw180,2022,99,-53.3809,0.1616
v5_stop1.25_tgt4.0_tw180,2023,110,7.6996,0.4091
v5_stop1.25_tgt4.0_tw180,2024,121,67.3954,0.4876
v5_stop1.25_tgt4.0_tw180,2025,118,-50.0031,0.1864
v5_stop1.5_tgt2.5_tw180,2020,102,60.5517,0.6275
v5_stop1.5_tgt2.5_tw180,2021,79,2.6380,0.3544
v5_stop1.5_tgt2.5_tw180,2022,99,-13.6667,0.3232
v5_stop1.5_tgt2.5_tw180,2023,110,14.4397,0.5182
v5_stop1.5_tgt2.5_tw180,2024,121,45.9907,0.5537
v5_stop1.5_tgt2.5_tw180,2025,118,-56.6862,0.2542
v5_stop1.5_tgt3.0_tw180,2020,102,68.8071,0.5882
v5_stop1.5_tgt3.0_tw180,2021,79,4.9214,0.3544
v5_stop1.5_tgt3.0_tw180,2022,99,-3.0000,0.3232
v5_stop1.5_tgt3.0_tw180,2023,110,21.1185,0.5182
v5_stop1.5_tgt3.0_tw180,2024,121,58.9907,0.5537
v5_stop1.5_tgt3.0_tw180,2025,118,-50.6862,0.2542
v5_stop1.5_tgt3.5_tw180,2020,102,79.6219,0.5882
v5_stop1.5_tgt3.5_tw180,2021,79,7.5880,0.3544
v5_stop1.5_tgt3.5_tw180,2022,99,-7.8967,0.2828
v5_stop1.5_tgt3.5_tw180,2023,110,12.3218,0.4818
v5_stop1.5_tgt3.5_tw180,2024,121,43.4573,0.4876
v5_stop1.5_tgt3.5_tw180,2025,118,-44.6862,0.2542
v5_stop1.5_tgt4.0_tw180,2020,102,92.7470,0.5882
v5_stop1.5_tgt4.0_tw180,2021,79,-4.4120,0.3038
v5_stop1.5_tgt4.0_tw180,2022,99,-15.7073,0.2828
v5_stop1.5_tgt4.0_tw180,2023,110,17.6551,0.4818
v5_stop1.5_tgt4.0_tw180,2024,121,52.4573,0.4876
v5_stop1.5_tgt4.0_tw180,2025,118,-38.6862,0.2542
v5_stop1.75_tgt2.5_tw180,2020,102,49.4910,0.6275
v5_stop1.75_tgt2.5_tw180,2021,79,-3.8817,0.3544
v5_stop1.75_tgt2.5_tw180,2022,99,-11.5714,0.3636
v5_stop1.75_tgt2.5_tw180,2023,110,5.4578,0.5182
v5_stop1.75_tgt2.5_tw180,2024,121,41.4661,0.5868
v5_stop1.75_tgt2.5_tw180,2025,118,-58.5509,0.2542
v5_stop1.75_tgt3.0_tw180,2020,102,56.5670,0.5882
v5_stop1.75_tgt3.0_tw180,2021,79,-1.9245,0.3544
v5_stop1.75_tgt3.0_tw180,2022,99,-1.2857,0.3636
v5_stop1.75_tgt3.0_tw180,2023,110,11.1824,0.5182
v5_stop1.75_tgt3.0_tw180,2024,121,52.6089,0.5868
v5_stop1.75_tgt3.0_tw180,2025,118,-53.4080,0.2542
v5_stop1.75_tgt3.5_tw180,2020,102,65.8368,0.5882
v5_stop1.75_tgt3.5_tw180,2021,79,0.3612,0.3544
v5_stop1.75_tgt3.5_tw180,2022,99,-4.9115,0.3232
v5_stop1.75_tgt3.5_tw180,2023,110,3.0710,0.4818
v5_stop1.75_tgt3.5_tw180,2024,121,38.1518,0.5207
v5_stop1.75_tgt3.5_tw180,2025,118,-48.2652,0.2542
v5_stop1.75_tgt4.0_tw180,2020,102,77.0869,0.5882
v5_stop1.75_tgt4.0_tw180,2021,79,-3.8837,0.3544
v5_stop1.75_tgt4.0_tw180,2022,99,-10.4634,0.3232
v5_stop1.75_tgt4.0_tw180,2023,110,7.6425,0.4818
v5_stop1.75_tgt4.0_tw180,2024,121,45.8661,0.5207
v5_stop1.75_tgt4.0_tw180,2025,118,-43.1223,0.2542
v5_stop2.0_tgt2.5_tw180,2020,102,43.2708,0.6667
v5_stop2.0_tgt2.5_tw180,2021,79,9.2285,0.4557
v5_stop2.0_tgt2.5_tw180,2022,99,4.7645,0.4848
v5_stop2.0_tgt2.5_tw180,2023,110,3.4005,0.5364
v5_stop2.0_tgt2.5_tw180,2024,121,33.2828,0.5868
v5_stop2.0_tgt2.5_tw180,2025,118,-61.7320,0.2542
v5_stop2.0_tgt3.0_tw180,2020,102,49.4623,0.6275
v5_stop2.0_tgt3.0_tw180,2021,79,8.9154,0.4557
v5_stop2.0_tgt3.0_tw180,2022,99,15.7645,0.4848
v5_stop2.0_tgt3.0_tw180,2023,110,8.9096,0.5364
v5_stop2.0_tgt3.0_tw180,2024,121,43.0328,0.5868
v5_stop2.0_tgt3.0_tw180,2025,118,-57.2320,0.2542
v5_stop2.0_tgt3.5_tw180,2020,102,57.5735,0.6275
v5_stop2.0_tgt3.5_tw180,2021,79,7.9851,0.4557
v5_stop2.0_tgt3.5_tw180,2022,99,14.0919,0.4444
v5_stop2.0_tgt3.5_tw180,2023,110,1.8122,0.5000
v5_stop2.0_tgt3.5_tw180,2024,121,29.3828,0.5207
v5_stop2.0_tgt3.5_tw180,2025,118,-52.7320,0.2542
v5_stop2.0_tgt4.0_tw180,2020,102,67.4173,0.6275
