entry_time,entry_price,exit_time,exit_price,stop,tp,risk,direction,exit_reason,pnl_r,fvg_high,fvg_low,quarter,month,hour
2024-07-05 13:03,20590.25,2024-07-05 15:03,20618.25,20564.25,20668.25,26.0,BULLISH,timeout,1.0769230769230769,20585.25,20569.25,2024Q3,2024-07,13
2024-07-08 12:14,20623.25,2024-07-08 14:14,20638.75,20605.0,20678.0,18.25,BULLISH,timeout,0.8493150684931506,20625.0,20610.0,2024Q3,2024-07,12
2024-07-08 12:15,20635.75,2024-07-08 12:17,20628.25,20628.25,20658.25,7.5,BULLISH,SL,-1.0,20635.25,20633.25,2024Q3,2024-07,12
2024-07-09 09:39,20726.0,2024-07-09 09:43,20738.25,20738.25,20689.25,12.25,BEARISH,SL,-1.0,20733.25,20732.75,2024Q3,2024-07,9
2024-07-09 13:05,20687.25,2024-07-09 13:17,20652.75,20698.75,20652.75,11.5,BEARISH,3R,3.0,20693.75,20677.75,2024Q3,2024-07,13
2024-07-10 09:40,20736.25,2024-07-10 09:41,20744.5,20733.5,20744.5,2.75,BULLISH,3R,3.0,20747.25,20738.5,2024Q3,2024-07,9
2024-07-10 11:43,20758.0,2024-07-10 12:32,20826.25,20735.25,20826.25,22.75,BULLISH,3R,3.0,20752.0,20740.25,2024Q3,2024-07,11
2024-07-11 13:19,20467.75,2024-07-11 15:19,20473.0,20506.75,20350.75,39.0,BEARISH,timeout,-0.1346153846153846,20501.75,20471.25,2024Q3,2024-07,13
2024-07-12 10:23,20531.25,2024-07-12 12:23,20589.75,20473.0,20706.0,58.25,BULLISH,timeout,1.0042918454935623,20537.25,20478.0,2024Q3,2024-07,10
2024-07-15 09:36,20614.0,2024-07-15 09:38,20625.5,20625.5,20579.5,11.5,BEARISH,SL,-1.0,20620.5,20611.25,2024Q3,2024-07,9
2024-07-15 11:48,20686.75,2024-07-15 12:05,20673.0,20673.0,20728.0,13.75,BULLISH,SL,-1.0,20678.75,20678.0,2024Q3,2024-07,11
2024-07-16 12:53,20529.25,2024-07-16 12:59,20548.0,20548.0,20473.0,18.75,BEARISH,SL,-1.0,20543.0,20529.5,2024Q3,2024-07,12
2024-07-18 09:35,20099.5,2024-07-18 09:36,20092.25,20092.25,20121.25,7.25,BULLISH,SL,-1.0,20102.75,20097.25,2024Q3,2024-07,9
2024-07-18 10:08,20093.25,2024-07-18 10:34,19959.0,20138.0,19959.0,44.75,BEARISH,3R,3.0,20133.0,20072.5,2024Q3,2024-07,10
2024-07-19 10:55,19822.25,2024-07-19 11:00,19848.5,19848.5,19743.5,26.25,BEARISH,SL,-1.0,19843.5,19829.75,2024Q3,2024-07,10
2024-07-22 12:05,19847.75,2024-07-22 12:19,19896.75,19896.75,19700.75,49.0,BEARISH,SL,-1.0,19891.75,19851.25,2024Q3,2024-07,12
